Тип предложения,Комнаты,Адрес,Серия,Площадь,Отопление,Состояние,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Интернет,Газ,Балкон,Мебель,Пол,Высота потолков,Телефон,Санузел,Входная дверь,Парковка,Ценна доллар,Lat,Lon,Город,Номер этажа,Общий этаж,Домофон,Видеонаблюдение,Охрана,Решетки на окнах,Кодовый замок,Сигнализация,Видеодомофон,Консьерж,Договор купли-продажи,Договор дарения,Технический паспорт,Акт ввода в эксплуатацию,Красная книга,зеленая книга,Материал,Год
агент,3,"Бишкек, Военторг, Манасчы Сагынбая 168",элитка,103.0,1.0,под самоотделку (псо),0.0,0.0,,,1.0,1.0,пустая,ламинат,3.2,,раздельный,,рядом охраняемая стоянка,135000,42.8716,74.5945,Бишкек,14,17,1,1,1,0,0,1,0,0,0,0,0,0,0,0,монолитный,2025
агент,2,"Бишкек, 7 м-н, 7-й микрорайон, 18",104 серия,43.0,,,,1.0,,,,,,,2.5,,,,,65000,42.8264,74.6165,Бишкек,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1970
агент,2,"Бишкек, ЖД вокзал, Панфилова 153",элитка,66.0,1.0,евроремонт,,,,,1.0,1.0,полностью меблирована,ламинат,,1.0,совмещенный,,рядом охраняемая стоянка,96000,42.8669,74.6006,Бишкек,5,12,1,1,1,0,0,0,0,0,1,0,1,0,0,0,монолитный,2022
агент,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",элитка,103.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,проводной,1.0,1.0,,,3.0,0.0,раздельный,бронированная,рядом охраняемая стоянка,129780,42.8171,74.6059,Бишкек,2,14,1,1,1,0,0,0,0,0,0,0,1,0,1,0,монолитный,2022
агент,1,"Бишкек, КНУ, Жибек Жолу/Шевченко",элитка,42.0,1.0,евроремонт,0.0,0.0,,adsl,1.0,1.0,полностью меблирована,ламинат,3.0,1.0,совмещенный,,рядом охраняемая стоянка,56500,42.8838,74.5836,Бишкек,8,10,1,1,1,0,0,1,1,0,1,0,1,0,1,0,монолитный,2018
агент,2,"Бишкек, КНУ, Темирязева 239/Жибек Уметалиева",элитка,50.0,1.0,евроремонт,,,,adsl,1.0,1.0,полностью меблирована,ламинат,3.0,1.0,раздельный,бронированная,паркинг,75000,42.8835,74.5835,Бишкек,16,16,1,1,1,0,0,1,0,0,0,0,1,0,1,0,монолитный,2019
агент,3,"Бишкек, Джал 15 м-н",элитка,101.0,1.0,хорошее,,,,проводной,,,,,,1.0,,металлическая,,110000,42.8453,74.566,Бишкек,5,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,монолитный,
агент,2,"Бишкек, АЮ Grand, Анкара, 40",индивид. планировка,85.0,,,,1.0,,,,,,,3.0,,,,,102000,42.8553,74.6644,Бишкек,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2020
собственник,2,"Бишкек, Академия Наук, Шевченко 99Б",элитка,75.0,1.0,евроремонт,,,обмен не предлагать,,1.0,1.0,полностью меблирована,ламинат,,,2 с/у и более,бронированная,паркинг,116250,42.8777,74.5831,Бишкек,9,10,1,1,1,0,1,0,0,1,0,0,0,0,0,0,кирпичный,
агент,1,"Бишкек, КНУ, Тимирязева/Жумабека",элитка,41.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,61000,42.884,74.581,Бишкек,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,1,"Бишкек, Аламедин-1 м-н",106 серия,45.0,1.0,хорошее,,1.0,,,,1.0,частично меблирована,,,,совмещенный,,,48500,42.876,74.688,Бишкек,8,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,
агент,2,"Бишкек, Магистраль, Аалы Токомбаева 23/1",элитка,82.0,1.0,евроремонт,0.0,0.0,обмен не предлагать,проводной,1.0,,полностью меблирована,ламинат,3.0,0.0,раздельный,бронированная,рядом охраняемая стоянка,105000,42.82,74.6169,Бишкек,3,10,1,1,1,0,0,0,1,0,1,0,1,0,1,0,монолитный,
агент,3,"Бишкек, Московская - Уметалиева, Жоомарта Боконбаева, 222",индивид. планировка,100.6,,,,1.0,,,,,,,3.0,,,,,89000,42.8681,74.5774,Бишкек,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2017
агент,1,"Бишкек, Асанбай м-н",элитка,44.64,1.0,под самоотделку (псо),,,,проводной,,,,,,1.0,,металлическая,,39000,42.819,74.6236,Бишкек,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,1,"Бишкек, 6 м-н, 6-й микрорайон, 34",105 серия,47.0,,,,1.0,,,,,,,2.8,,,,,70500,42.825,74.6242,Бишкек,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1978
агент,1,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",элитка,45.39,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,43000,42.818,74.6088,Бишкек,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
агент,3,"Бишкек, КНУ",элитка,100.0,1.0,евроремонт,,,,,,1.0,полностью меблирована,,,,раздельный,,паркинг,118000,42.8819,74.5858,Бишкек,9,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,кирпичный,
агент,3,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",элитка,112.11,1.0,под самоотделку (псо),,,,,,,,,3.2,,,,,130048,42.82,74.5854,Бишкек,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2020
агент,3,"Бишкек, Верхний Джал м-н,",элитка,99.0,1.0,хорошее,,,,,,,,,,,,,,87000,42.836,74.567,Бишкек,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,монолитный,
агент,2,"Бишкек, Магистраль, Чынгыза Айтматова пр-т, 88",индивид. планировка,64.71,,,,1.0,,,,,,,3.0,,,,,109000,42.823,74.5856,Бишкек,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2022
агент,3,"Бишкек, Кара Дарыя, Исы Ахунбаева стр. 24",элитка,80.0,1.0,хорошее,,,,,,,,,3.0,,,,,100000,42.8416,74.6269,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2018
агент,3,"Бишкек, Восток-5 м-н",106 серия,85.0,1.0,хорошее,,,,,,,,,,,,,,82000,42.8728,74.6324,Бишкек,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,
агент,2,"Бишкек, 7 м-н, Юнусалиева, 173",индивид. планировка,83.0,,,,1.0,,,,,,,3.0,,,,,115000,42.8279,74.6215,Бишкек,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2017
агент,3,"Бишкек, Ак Эмир рынок, Усенбаева, 37",индивид. планировка,78.0,,,,1.0,,,,,,,2.5,,,,,110000,42.8679,74.6132,Бишкек,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1992
агент,3,"Бишкек, Джальская больница, Айни 91-93",элитка,82.0,1.0,евроремонт,0.0,1.0,,проводной,,,,,3.2,0.0,,,,85000,42.8485,74.5708,Бишкек,10,10,1,1,1,0,0,0,1,0,1,0,1,0,1,0,монолитный,2020
агент,1,"Бишкек, 10 м-н",элитка,32.0,1.0,евроремонт,,,,проводной,,,,,,1.0,,металлическая,,56500,42.833,74.602,Бишкек,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,кирпичный,
агент,1,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",элитка,48.0,1.0,под самоотделку (псо),,,,,,,,,,,,,,74400,42.8167,74.6245,Бишкек,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2025
агент,1,"Бишкек, Аламедин-1 м-н",106 серия,42.0,1.0,евроремонт,,,,,,,,,,,,,,48000,42.8762,74.6889,Бишкек,8,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,
агент,2,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",элитка,58.0,1.0,под самоотделку (псо),,,,,,,,,3.1,,,,,56840,42.8223,74.6161,Бишкек,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
агент,2,"Бишкек, 9 м-н/Суеркулова",индивид. планировка,60.0,1.0,хорошее,0.0,1.0,обмен не предлагать,проводной,1.0,1.0,частично меблирована,линолеум,2.8,1.0,раздельный,металлическая,паркинг,72000,42.8358,74.6045,Бишкек,4,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,кирпичный,1993
агент,2,"Бишкек, 9 м-н/Суеркулова",индивид. планировка,60.0,1.0,хорошее,0.0,1.0,обмен не предлагать,проводной,1.0,1.0,частично меблирована,линолеум,2.8,1.0,раздельный,металлическая,паркинг,72000,42.8358,74.6045,Бишкек,4,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,кирпичный,1993
агент,1,"Бишкек, Военторг, Токтогула 132",элитка,64.0,1.0,под самоотделку (псо),0.0,0.0,,проводной,1.0,1.0,,,3.2,0.0,раздельный,бронированная,паркинг,63936,42.8723,74.5946,Бишкек,7,12,1,1,1,0,0,0,1,0,0,0,0,0,0,0,кирпичный,2024
агент,1,"Бишкек, Рабочий Городок, Роза Люксембург",элитка,54.0,1.0,под самоотделку (псо),,,,,,,,,,,,,,42500,42.8617,74.5717,Бишкек,8,10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,монолитный,
агент,1,"Бишкек, Магистраль, Токтоналиева, 104",индивид. планировка,47.0,,,,1.0,,,,,,,2.8,,,,,55700,42.8243,74.5914,Бишкек,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,2022
агент,2,"Бишкек, Чокана Валиханова - Исакеева, Исакеева/Виноградная",элитка,54.0,1.0,евроремонт,,,,,,,,,2.8,,,,,65500,42.8612,74.6673,Бишкек,3,10,1,1,0,1,0,0,0,0,0,0,0,0,1,0,монолитный,2022
агент,2,"Бишкек, Магистраль, пр. Ч. Айтматова",элитка,87.0,,под самоотделку (псо),,,,,,,,,3.3,,,,,98000,42.8236,74.5858,Бишкек,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,2022
агент,3,"Бишкек, 8 м-н, 8-й микрорайон, 32",104 серия,58.0,,,,1.0,,,,,,,2.5,,,,,76000,42.8311,74.6084,Бишкек,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1987
агент,1,"Бишкек, 5 м-н",105 серия,35.0,1.0,хорошее,,,,,,,,,,,,,,48300,42.8294,74.6262,Бишкек,9,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,
агент,4,"Бишкек, Филармония",индивид. планировка,85.0,1.0,евроремонт,,,,проводной,,,,,,1.0,,металлическая,,117000,42.8784,74.5879,Бишкек,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,3,"Бишкек, Молодая Гвардия, Молодой Гвардии бульвар, 72",индивид. планировка,63.0,,,,1.0,,,,,,,2.75,,,,,78500,42.8804,74.5751,Бишкек,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,1970
агент,2,"Бишкек, Магистраль, пр. Ч. Айтматова",элитка,86.0,,под самоотделку (псо),,,,,,,,,3.3,,,,,104000,42.8236,74.5858,Бишкек,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,2022
агент,2,"Бишкек, 5 м-н",104 серия,46.0,1.0,евроремонт,0.0,1.0,,,,,,,2.7,,,,,66000,42.8352,74.6256,Бишкек,4,4,1,1,1,0,0,0,1,0,1,0,1,0,1,0,панельный,
агент,2,"Бишкек, 12 м-н",элитка,63.0,1.0,евроремонт,,,обмен не предлагать,,1.0,0.0,частично меблирована,ламинат,3.0,0.0,раздельный,бронированная,,82000,42.8131,74.6365,Бишкек,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2018
агент,1,"Бишкек, Госрегистр",элитка,43.0,1.0,евроремонт,,,,проводной,,,,,,1.0,,металлическая,,70000,42.8601,74.5865,Бишкек,9,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,монолитный,
агент,1,"Бишкек Октябрьский район, Ахунбаева (Бот. Сад)",элитка,42.0,1.0,евроремонт,0.0,0.0,,,,,,,3.0,,,,,71000,42.8412,74.6322,Бишкек,2,12,1,1,1,0,0,0,1,0,1,0,1,0,1,0,монолитный,2021
агент,5,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,244.0,1.0,евроремонт,,,,,,,,,3.0,,,,,390000,42.819,74.6145,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2019
агент,2,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",108 серия,79.3,1.0,евроремонт,0.0,0.0,обмен не предлагать,оптика,1.0,1.0,пустая,ламинат,2.8,0.0,раздельный,металлическая,паркинг,102000,42.8249,74.591,Бишкек,5,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2022
агент,1,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",элитка,48.0,1.0,под самоотделку (псо),,,,,,,,,,,,,,74400,42.8167,74.6245,Бишкек,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2025
агент,2,"Бишкек, Магистраль, г. Бишкек, Б.Баатыра / А.Токомбаева",элитка,79.4,1.0,под самоотделку (псо),,,,проводной,1.0,1.0,пустая,,3.0,0.0,2 с/у и более,металлическая,рядом охраняемая стоянка,73600,42.8183,74.6031,Бишкек,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,1,"Бишкек, Филармония",элитка,46.0,1.0,евроремонт,,,,проводной,,,полностью меблирована,,,1.0,,,,65500,42.8795,74.5869,Бишкек,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,2,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",элитка,77.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,95000,42.8195,74.6155,Бишкек,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2019
агент,3,"Бишкек, Средний Джал м-н, Джал-23 мкр, 37",индивид. планировка,86.0,,,,1.0,,,,,,,2.5,,,,,90000,42.8371,74.5648,Бишкек,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2000
агент,1,"Бишкек, Джал-30 м-н",105 серия,35.0,1.0,хорошее,0.0,1.0,обмен не предлагать,проводной,1.0,1.0,частично меблирована,линолеум,3.0,0.0,совмещенный,металлическая,паркинг,50000,42.8355,74.5719,Бишкек,9,9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,панельный,
агент,1,"Бишкек, Магистраль, Куттубаева, 15 стр 4",индивид. планировка,41.5,,,,1.0,,,,,,,3.0,,,,,61000,42.8127,74.6194,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,1,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",элитка,49.19,,под самоотделку (псо),,,обмен не предлагать,,,,,,,,,,,56000,42.8516,74.6152,Бишкек,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,2,"Бишкек, Московская - Белинка",элитка,75.0,1.0,евроремонт,,,,,,,,,,,,,,84000,42.8667,74.588,Бишкек,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,3,"Бишкек, ЖД вокзал, Чуйкова 125/Панфилова",элитка,118.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.2,,2 с/у и более,металлическая,,129000,42.8668,74.601,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,кирпичный,2022
агент,2,"Бишкек, Нижний Токольдош, Кийизбаева 33",элитка,63.0,1.0,под самоотделку (псо),,,,,,,,,3.1,,,,,54810,42.8705,74.6294,Бишкек,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Джальская больница,  ул. Айни 95",элитка,89.0,1.0,под самоотделку (псо),,,,,,,,,,,,,,95000,42.8489,74.5704,Бишкек,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,2,"Бишкек, Бишкек-Парк, Токтогула/Исанова",элитка,76.0,1.0,евроремонт,0.0,0.0,,проводной,1.0,1.0,полностью меблирована,ламинат,3.0,0.0,раздельный,бронированная,рядом охраняемая стоянка,125000,42.873,74.5901,Бишкек,10,16,1,1,1,0,0,1,1,0,1,0,1,0,1,0,монолитный,2018
агент,2,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",элитка,73.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,,,,,3.0,,,,,73000,42.818,74.6088,Бишкек,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
агент,2,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,88.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,81000,42.8451,74.5654,Бишкек,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,5,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",элитка,178.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,220000,42.8176,74.6247,Бишкек,10,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,монолитный,2022
собственник,4,"Бишкек, ЖД вокзал, Чуйкова 94а",элитка,136.0,1.0,хорошее,,,,проводной,,,полностью меблирована,,3.0,,,,,225000,42.8657,74.6029,Бишкек,5,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,
агент,3,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,88.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,adsl,1.0,1.0,пустая,,3.0,0.0,раздельный,бронированная,рядом охраняемая стоянка,81000,42.8451,74.5654,Бишкек,5,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,монолитный,2024
агент,4,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",элитка,126.0,1.0,под самоотделку (псо),,,,,,,,,3.2,,,,,151200,42.82,74.5854,Бишкек,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2020
агент,2,"Бишкек, Магистраль,  ул. Куттубаева, 15",элитка,72.0,1.0,евроремонт,,,,,,,,,3.0,,,,,96000,42.813,74.6193,Бишкек,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Восток-5 м-н",106 серия,62.0,1.0,хорошее,,,,,,,частично меблирована,,,,,,,78000,42.8739,74.6347,Бишкек,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,панельный,
агент,1,"Бишкек, Достук м-н, Кайназарова",элитка,35.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,29500,42.8892,74.5303,Бишкек,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,97.0,1.0,евроремонт,0.0,0.0,обмен не предлагать,проводной,1.0,,полностью меблирована,ламинат,3.0,0.0,раздельный,бронированная,рядом охраняемая стоянка,124000,42.8113,74.6221,Бишкек,7,10,1,1,1,0,0,0,0,0,0,0,0,0,1,0,монолитный,2023
агент,2,"Бишкек, 7 м-н",элитка,66.0,1.0,евроремонт,,,,,,,,,,,,,,77500,42.8238,74.6153,Бишкек,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,2,"Бишкек, Магистраль, Токтоналиева, 104",108 серия,71.0,,,,1.0,,,,,,,3.0,,,,,93000,42.8245,74.5909,Бишкек,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,2021
агент,2,"Бишкек, Магистраль, Токомбаева, 15",индивид. планировка,72.0,,,,1.0,,,,,,,2.5,,,,,115000,42.8114,74.6221,Бишкек,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2023
агент,3,"Бишкек, Магистраль, Сухэ Батора и Токомбаева",элитка,96.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,,,,,,,,,,84480,42.8178,74.6138,Бишкек,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Молодая Гвардия",105 серия,80.0,1.0,хорошее,,,,,,,,,,,,,,75000,42.8745,74.5732,Бишкек,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,1,"Бишкек, Аламедин-1 м-н",105 серия,40.0,1.0,евроремонт,,,,,,,,,,,,,,51500,42.8776,74.6851,Бишкек,4,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,
агент,3,"Бишкек, Парк Панфилова/Спартак, Панфилова, 188",индивид. планировка,106.0,,,,1.0,,,,,,,3.2,,,,,149000,42.8816,74.6009,Бишкек,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2018
агент,3,"Бишкек, 12 м-н, 12 мкрн 57/1",элитка,86.0,1.0,евроремонт,0.0,1.0,обмен не предлагать,проводной,1.0,1.0,полностью меблирована,ламинат,3.0,0.0,раздельный,бронированная,рядом охраняемая стоянка,103200,42.8121,74.6374,Бишкек,3,13,1,1,1,0,0,1,1,1,1,0,1,0,1,0,монолитный,2021
агент,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,61.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,83500,42.8195,74.6155,Бишкек,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2019
агент,1,"Бишкек, Магистраль, Сухэ Батора и Токомбаева",элитка,58.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,,,,,,,,,,51620,42.8178,74.6138,Бишкек,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,4,"Бишкек, Советская - Скрябина, Медерова, 117",индивид. планировка,145.0,,,,1.0,,,,,,,2.5,,,,,265000,42.8525,74.6142,Бишкек,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2022
агент,2,"Бишкек, 11 м-н, Жетишкаева",104 серия,43.0,1.0,хорошее,,,,проводной,1.0,1.0,частично меблирована,ламинат,,0.0,совмещенный,бронированная,,62000,42.8173,74.6323,Бишкек,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,панельный,
агент,3,"Бишкек, Военторг, Исанова/Токтогула",элитка,90.0,1.0,евроремонт,0.0,0.0,обмен не предлагать,проводной,1.0,1.0,частично меблирована,,3.0,0.0,раздельный,бронированная,,150000,42.8733,74.5916,Бишкек,11,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2022
агент,1,"Бишкек, 7 м-н",элитка,47.0,,под самоотделку (псо),,,,проводной,,,,,,1.0,,металлическая,,68500,42.8293,74.6185,Бишкек,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,3,"Бишкек, Восток-5 м-н, Восток-5 микрорайон, 9",105 серия,80.0,,,,1.0,,,,,,,2.8,,,,,82500,42.8711,74.6353,Бишкек,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1973
агент,2,"Бишкек, Верхний Джал м-н",элитка,81.0,1.0,евроремонт,0.0,,обмен не предлагать,проводной,1.0,1.0,частично меблирована,,,0.0,2 с/у и более,бронированная,,101000,42.8348,74.5686,Бишкек,9,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,
агент,1,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",элитка,43.0,1.0,евроремонт,,,,,,,,,,,,,,53000,42.8566,74.6386,Бишкек,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2023
агент,3,"Бишкек, Военторг, Исанова/Токтогула",элитка,90.0,1.0,евроремонт,,,,,,,,,3.0,,,,,150000,42.8733,74.5916,Бишкек,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,2,"Бишкек, Кок-Жар м-н, Кок-Джар, 5",104 серия,48.0,,,,1.0,,,,,,,2.5,,,,,65000,42.8498,74.6327,Бишкек,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,1988
агент,2,"Бишкек, Чокана Валиханова - Исакеева, Исакеева/Виноградная",элитка,54.0,1.0,евроремонт,0.0,0.0,,,,,полностью меблирована,паркет,2.8,,,бронированная,паркинг,65500,42.8612,74.6673,Бишкек,3,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2022
агент,2,"Бишкек, Магистраль, Токтоналиева, 104",индивид. планировка,77.0,,,,1.0,,,,,,,2.8,,,,,94000,42.8239,74.5912,Бишкек,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,2,"Бишкек, Магистраль,  ул. Куттубаева, 15",элитка,73.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,69500,42.8138,74.6191,Бишкек,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Джальская больница, Бакаева/Ахунбаева",элитка,96.0,1.0,евроремонт,,,,,1.0,1.0,частично меблирована,,3.0,1.0,,,,128000,42.8419,74.575,Бишкек,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2016
агент,1,"Бишкек, Средний Джал м-н, Джал-23 мкр, 33",106 серия,41.0,,,,1.0,,,,,,,2.8,,,,,54000,42.8379,74.5639,Бишкек,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1980
агент,3,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",элитка,131.0,,под самоотделку (псо),,,,проводной,,,,,3.0,1.0,,металлическая,,131000,42.8192,74.6031,Бишкек,4,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,монолитный,2022
агент,2,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",элитка,48.0,1.0,евроремонт,,,,,,,,,3.0,,,,,60000,42.8161,74.6228,Бишкек,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,2,"Бишкек, ЦУМ",сталинка,60.0,1.0,евроремонт,,,,проводной,,,,,,1.0,,металлическая,,92000,42.876,74.6125,Бишкек,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,кирпичный,
агент,2,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",элитка,76.0,1.0,евроремонт,,,,,,,,,3.3,,,,,127500,42.8224,74.611,Бишкек,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Филармония",сталинка,61.0,1.0,среднее,,,,проводной,,,,,,1.0,,металлическая,,130000,42.8796,74.5859,Бишкек,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,кирпичный,
агент,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,100.0,1.0,евроремонт,,,,,,,,,3.0,,,,,185000,42.8188,74.6162,Бишкек,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
агент,1,"Бишкек, VEFA, Кулатова, 14",индивид. планировка,41.99,,,,1.0,,,,,,,3.0,,,,,71500,42.8591,74.6134,Бишкек,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Филармония",индивид. планировка,70.0,1.0,евроремонт,,,,проводной,,,,,,1.0,,металлическая,,85000,42.8774,74.5886,Бишкек,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,кирпичный,
